month,lat_band,sst_mean_c,chl_mean_mgm3,wave_mean_m
1,5-10N,28.2,0.42,1.2
1,10-15N,27.8,0.38,1.4
1,15-20N,26.5,0.32,1.6
2,5-10N,28.4,0.40,1.1
2,10-15N,28.0,0.36,1.3
2,15-20N,26.8,0.30,1.5
3,5-10N,29.0,0.36,1.0
3,10-15N,28.5,0.32,1.2
3,15-20N,27.5,0.28,1.4
4,5-10N,29.8,0.28,0.9
4,10-15N,29.2,0.26,1.0
4,15-20N,28.5,0.24,1.2
5,5-10N,30.2,0.22,1.1
5,10-15N,29.8,0.20,1.3
5,15-20N,29.2,0.20,1.5
6,5-10N,28.5,0.30,2.0
6,10-15N,28.0,0.28,2.5
6,15-20N,27.5,0.26,2.8
7,5-10N,27.8,0.38,2.4
7,10-15N,27.2,0.35,2.8
7,15-20N,26.8,0.32,3.0
8,5-10N,27.5,0.42,2.2
8,10-15N,27.0,0.40,2.5
8,15-20N,26.5,0.38,2.7
9,5-10N,27.8,0.45,1.8
9,10-15N,27.5,0.42,2.0
9,15-20N,27.0,0.40,2.2
10,5-10N,28.2,0.48,1.4
10,10-15N,28.0,0.45,1.6
10,15-20N,27.5,0.42,1.8
11,5-10N,28.5,0.44,1.2
11,10-15N,28.2,0.42,1.3
11,15-20N,27.8,0.40,1.5
12,5-10N,28.0,0.43,1.1
12,10-15N,27.5,0.40,1.3
12,15-20N,27.0,0.38,1.4
